id,user,text
682335454188863493,RealEmmaJoe,"Have #problems? #Afraid, #Addicted, #depression, #helpless, #discourage,#broken-hearted, #broke, #poor, #Angry,"
682331959473750017,JoshDeMaria,#Naked and #afraid (of #Hillary) #BillClintonSitcoms #onefineday to be #nude
682313604654313474,esesvensson,Thank God that the storm Frank was in Ireland today and not next weekend... #afraid
682282844434096129,frugalmaniac,Do not be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
682277687554125824,megweiss13,#policebrutality is a problem. #Racism is dominant. And children have EVERY reason to be #afraid how is this ok? 
682272010995646464,fplchile,"With Wes Brown starting, Liverpool can easily score 3 or 4. My cup rival owns Coutinho and I Moreno, and he has 4 more points. #afraid"
682246137965842433,DrEdwardG,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
682232927283875840,abimacmusic,#Embrace #every #moment! Don't be #afraid of your #past. #Hope #joy #love #scares #peace #renewed… https://www.instagram.com/p/_7BedpFVIa/
682231593826697216,Itz_Mandrake,Its natural to fear but choice to be #afraid
682226802069254144,Fosterkidsrock,@OprahsLifeclass http://www.sophiawilliams.tateauthor.com #pain #abandoned #afraid #Rejection #childabuse broken #adoption #fostercare #hope #forgiveness
682210572025393153,inspiringbirths,We #betray our #children by making them #afraid to #fail | Matthew Syed http://gu.com/p/4fd2x/stw
682206572941078528,encompasscenter,"#Afraid of something and desire to be free? Take #Jesus' hand, thank him for being with you, and move forward. Don't stand still in #terror."
682200880003833856,brettmcleod,Video of the Day: The Neighbourhood 'Afraid' https://youtu.be/eBtdDCYgx7s via @YouTube @thenbhd #new #music #wheniwakeup #afraid
682197346046865408,estherdyer,I'm not #afraid tuh tell you what I'm #thinking When it come to #wuk I'm not ashamed to tell you… https://www.instagram.com/p/_6xTJTGV1d/
682173089988358144,abdullahamir313,Don't βe #Afraid of losing Some 1 Who Doesn't feel #Lucky to Have U
682161287070093312,frugalmaniac,Are you #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
682141936506003456,GaryLoper,What Lies Within You? #Afraid to Fail! http://bit.ly/X0lLTB #GaryLoper
682127008927625216,Ladyinpink1989,Another #day #sleepless and with a lot of #snow @Ladyinpink1989 #alone #anxious #afraid 💖🌺🌷💞 I need to sleep !!!!! 😴😴😴
682120290218962944,m8ttr,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
682116974843944960,delprestonroady,"I'm afraid you've been baking in the stage, and mentions there's me, and - it's closed. 📏 #afraid "
682116519795527680,Travel__Videos,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
682091859443765249,kkk4so,The Art Of #Noise - (Who's #Afraid Of?) The Art Of #Noise! (#1994) http://bit.ly/1YS3Qa8 #Whos
682056506880225280,AhmedFSaqer,"""Be not #afraid of life. #Believe that #life is worth living and your belief will #help #create the #fact ."" — William James"
682053218357133312,closetcase2015,It's all #newtome and I'm still #afraid but I think is worth it in the end.
682040682471682048,frugalmaniac,Why be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
682036769773252610,usumtwit,#The ‘mustn’t #grumble’ #pensioners #afraid #to #complain #about #poor #care: #Vulnerable… http://goo.gl/fb/qUIAKU
682030617601683461,LaWannish,A blog post I wrote in 2013: http://lettersfromlaunna.blogspot.ca/2013/06/choosing-to-trust-even-if-i-am-afraid.html?m=1 #blog #afraid #choose #trust
682023428002590720,WstLondonGarden,If you are a little #afraid of the new #ocean before you. It is ok to ask for help navigating it. #GrowOn #GoGarden
681946954188865536,ItsmyLife1013,On repeat!!! #Afraid @amellarrieux ❤️❤️
681934892322656256,StevenLMattes,"... and these things r bcuz they are #AFRAID, of #YOU being #Empowered and #Sovereign as a Human, #Being. #FuckThemAll. Be #One"
681920455616389120,frugalmaniac,Do not be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
681910078719586305,CaliberMatch,Do not be #afraid to #fail. http://goo.gl/fqqg9A #datingadvice
681906140511211520,kerrynsaggers,The best way to make people hate you is to make them scared of you #scared #hate #afraid
681893803628707840,WoStrength,Let.....that....go!!! Him knowing your #heart is what you shld be #afraid of the most. Smh lord… https://www.instagram.com/p/_4nQtZBI6K/
681891973158928384,DrHamza2020,Don't βe #Afraid of losing Some 1 󾌵 Who Doesn't feel #Lucky to Have U 󾍇󾌵
681891964158107649,DrHamza2020,Don't βe #Afraid of losing Some 1 😊 Who Doesn't feel #Lucky to Have U 😉😊
681890325565181952,legacy_e3,Where are you afraid of going? What are you afraid of doing? #e3Legacy #afraid #Go
681880806986493956,gs_walterp,Don't be #afraid to take #responsibility. You are #loved. But you can only receive #forgiveness if you ask for it.
681877632624005120,AuthorShout,"Be #afraid of the dark, be very afraid . . . http://ow.ly/WqobZ #asmsg #TheDarkSide #DarkSide #iartg #agalaxyfarfaraway @nancy1janes"
681856986149961728,chrozy,These #politicians that hate #Trump so much R the EXACT ones who've #failed 2 stand up 4 #ConservativeValues 4 YEARS &amp; R #Afraid of #Trump!
681848417144852480,smileyriley210,"Don't be #afraid to get started, take one small #step towards #improving your #health today you're worth it!"
681813698218950658,Web_Series_Mag,#Naked and #Afraid | #WHITE AND AFRAID | Full Episode https://youtu.be/JV9VXqdmaZs via @YouTube
681809786137096192,M_Danish_Here,Life is too short to hide your #feelings. Don't be #afraid to say what you feel ....
