id,user,text
682350118968795136,Hawthorne679,the tears will cry #depressed the pain will tear the world may hope #hope life may live #livefreewithoutviolence
682348923747348480,eabaudler,That moment when you remember the Blue Bell ice cream in your freezer... After you've left Texas... 😡😡😡😡 #BlueBell #depressed
682345714018611201,loosingmyself1,Him:it was a mistake dating u Me:I'm sorry I'm not good enough Him:throws rocks at me Me:takes the pain #depressed
682343773452537856,SeannyP98,@AVABandOfficial practically begging for deathright now. Please talk to me #angelsandairwaves #depressed #chat? #please 😭
682341687977357312,hotgirl_jess,Curry really can't play tonight #depressed but the rest of the Warriors got it 💪🏽👌🏽✊🏽👊🏽💯
682341610399469568,MeDiscoveringMe,I guess it's because I'm not feeling well that I feel so low. Throat is starting to flare and I can't cope with it right now. #depressed
682339525956259842,SavliZan,"#depressed, #tired, #alone,.. Stfu You're only 15 You just started your life"
682335987695915008,jimbsez,@RRRawlings I thought I won this on my $10. Raffle tic? #depressed 
682329486071758849,Disclosuredoll,Literally going to make 2016 the best of it cause this year was true hell #depressed 😣
682322485870772225,camiltrufia,UGH miss my old me 😡😢 #stressed #depressed #done #wannabefree
682319616962609154,crackedupside,I find #NewYearsResolutions to be very useful. They give me lots of things to be #depressed about in the coming year.
682318581313437696,angel_is_dead,Omg doorbell ring and I thought it was him…I hate anxiety attacks… #depressed #anxiety #selfhate
682311830128181249,kingofkamagasak,man loses his suicide note and the strangers who find it pledge to save him http://www.amazon.com/A-Vagrant-Story-Paul-Croasdell-ebook/dp/B00BR4MKS8 #suicide #newyear #depressed #christmas
682302912161263616,HumanaCareOrg,How Can You Tell What's Behind Someone's #Selfie Smile? #Depressed or #Excited? #socialmedia http://ow.ly/Wtfi3
682301059361062912,CareOregon,"#Depressed? If u or someone else needs help, reach the Crisis Text Line: Text “START” to 741-741. #suicideprevention"
682300332915961861,kknoell12,It really needs to start snowing #needtoshred #depressed
682297258268844032,salaihaa_,No more scioly for the rest of the year #sad #depressed #whatalife
682295666329030656,horkmadork,when u want bae to be bae but he caps ur relationship at fam #depressed #sad #heneedssomemilk
682292308457422848,FFHtraining,So true during holidays- @GlobalMedEd: #overeating &amp; #depressed ? There's a connection http://bit.ly/1NA4VQw #psychiatry #nutrition
682289667937558528,_tayl2r,I won't #depression #depressed #suicide #suicidal #anorexia #anorexic #bulimia #bul... (Vine by I want to die)
682277889082044416,DrAngelMachine,Me right now. :'( #RIPLemmy #sad #crying #emotional #depressed #down #empty #death #lemmyisgod… https://www.instagram.com/p/_7UrOpAsvq/
682277248519503873,Caligraphy215,My Days: 12/29/2015: #Blessed #Depressed #GorgeousMan #LoveYourSelfie #Lonely #Stressed #Selfie… https://www.instagram.com/p/_5lSKOqT75/
682271441132335106,ConDeminator,@mrplannings @comefollowcath @SPIRIT0009 @TheMockneyRebel @terry121269 Legally we can't get shot of them until 2020. #depressed.
682268668646920192,Timotato,".@MKBHD my main beef is that the hardware is getting awesome, but the software is still bland and app ecosystem is just poop. #depressed"
