id,user,text
682350216482258944,giantrat,2015: when music destroyed #mentalhealth stigma http://goo.gl/52eKru #despair #depression #anxiety #suicide #bipolar via .@guardian
682350216436137985,AlignTherapyUK,2015: when music destroyed #mentalhealth stigma http://goo.gl/52eKru #despair #depression #anxiety #suicide #bipolar via .@guardian
682349307853406208,singforgood,Be happy in 2016. Enjoy a special #HealthyMeSummit with @taniadejong #depression &amp; #anxiety http://ow.ly/W0387 http://fb.me/3rRZ5rnxX
682349295396323328,CreativityAust,Be happy in 2016. Enjoy a special #HealthyMeSummit with @taniadejong #depression &amp; #anxiety http://ow.ly/W0387
682348727126876160,facebookguide2,RT screwdepblog Tell me which cover looks better (and download a free eBook!) https://payhip.com/screwdepression #depression… https://twitter.com/screwdepblog/status/682348083896664064/photo/1
682348675079770112,baracinta15,(( or at all )) #sad #sighs #teenagers #teens #depression #deb #sue #crying #anxiety #annie #socialanxiety #broken …
682348671204233216,facebookguide2,"RT mc1748 When words don't work, #arts program can help heal #veterans http://strib.mn/1mPKarx #PTSD #MentalHealth #NAMI #depression #anxi…"
682348626106925056,Beyond_The_Body,Debunking the myth that #suicides increase over the holiday season http://nymag.com/scienceofus/2015/12/suicides-dont-really-spike-around-the-holidays.html?mid=twitter-share-scienceofus #mentalhealth #depression
682348619056463873,baracinta15,It's like a movie #sad #sighs #teenagers #teens #depression #deb #sue #crying #anxiety #annie #socialanxiety #brok…
682348608440643585,baracinta15,"Mom, I just really have to focus on my music right now #sad #sighs #teenagers #teens #depression #deb #sue #crying…"
682348559426011137,baracinta15,I thought I was better but guess not *shrug emoji* #sad #sighs #teenagers #teens #depression #deb #sue #crying #an…
682348371798003712,AHealthBlog,What does #depression feel like? ➡ http://aboutdepressionfacts.com/oltu
682347602629791744,fightwinsurvive,Fight...Win...Survive! #FightWinSurvive #GodsGotYourBack #cancer #lupus #ms #depression #anxiety… https://www.instagram.com/p/_71oJqL31T/
682347593070960643,AlignTherapyUK,Researchers Using Facial-Recognition #Technology to Fight #Depression http://goo.gl/1EwDWP #PTSD via .@good
682347593029017600,giantrat,Researchers Using Facial-Recognition #Technology to Fight #Depression http://goo.gl/1EwDWP #PTSD via .@good
682346291846885376,peace123412,Self-acceptance is key 2doing our best w/our own unique qualities & having peace of mind❤️👍😘 #depression #mentalillness #suicideprevention
682345517020504065,MissLJBeauty,Christmas season me & depression check out http://ln.is/www.missljbeauty.com/mUpjK #bbloggers #bloggers #depression
682344724825550848,ArtistLR,"RT mc1748 When words don't work, #arts program can help heal #veterans http://strib.mn/1mPKarx #PTSD #MentalHealth #NAMI #depression #anxi…"
