id,user,text
1211798366683881479,NewtRayburn,"Thank you to everyone who continues to listen to my music both online and offline! I appreciate you and I'd like to say thanks. The music industry may be broken, but the music plays on. Listen on Spotify here: https://tinyurl.com/TheCootersSpotify #NewtRayburn #Cooter #TheCooters #Pissed "
1211792512660246529,Built2Sleep,#SouthPark built it and it really #pissed #Americans on the show off https://twitter.com/D_Orion83/status/1211441576100139012
1211784026437996544,Edwin29280749,#Walmart #Pissed Off Many #People With This #Innocent Looking #Toy.
1211782705802862593,p1ayboihorny,my family is listening to rap that isn’t playboi carti #pissed
1211764328304717826,ryan_adams429,I don't know why I'm a falcons fan....lets start year 1-7 COOL KEEP LOSING and get a top 5 pick....nope let's go 6-2 last 8 games and pick 16th #pissed #InsteadOfRiseUpHowAboutSitDown
1211764083344728069,Brooklyn_1_11,Had to reschedule the tattoo appt #pissed
1211756509664829440,NullJay_,"I go on a 3 week business trip, finally get a break to come home and what happens? I catch the flu 😑 #Pissed"
1211742106810802176,Big_Fat_Gaz,"For the avoidance of doubt , it’s just gone 8pm and I am fucking leathered beyond belief. #pissed #drunk #ratarsed"
1211737166499532802,leanna_gilreath,Walgreens/rite aid is awful!!!! It took them around 2 hours to fill my medicine when I called and they said it’ll be 30 minutes. 😤#pissed #CommonSense
1211731955521183744,TriaNffc,I’ve been healthy eating for a day so I’m rewarding myself with a Dominos #pissed
1211697130030665728,arisinlife,"I HATE insurance companies, they are fast to charge me monthly but when I need them to fix my car, they take their sweet time and never answear the phone #Pissed #Annoyed #WantAndNeedMyCarBack"
1211696385537519621,Yadadadida1,I am as sweet as can be. But you do not want to see my bad side. People need to stop trying me. #pissed
1211685508885159936,FeelingsAlien,"Dale and Ricky, post gig ✌️🎄 . . . . : : . . . . #indie #indieband #indiemusic #independantartist #rockandroll #alternative #alternativegirl #alternativefashion #party #drinks #pissed #goodnight #goodfun… https://www.instagram.com/p/B6tAojxFm1Q/?igshid=1fscf67dhe3te"
1211672099506536451,farrahfair1,Girl I got mine last night #PISSED
1211661890830688256,asortlnx,I’m soo mad at myself #pissed
1211634813540732928,Taaya610,I’ve been moody asf & it all makes sense now. MMMCHT #Pissed 😭
1211611911663562752,___angieee12,And my nose wont stop running! #pissed
1211607884808761344,ValKPloughman,Awake since 5:30... On a day I can sleep in.... #pissed 
1211552798405361665,rikhtya,They were smart men of their time so made up all this shit for us to follow #Pissed
1211539078933557250,WhatIsYouSaiyan,feel like I’ve had a hangover all day or I’m about to catch the flu again .... either way #pissed 
1211509577696583680,Kurlylicious,@dominos I waited almost 2 hours for a delivery that said 34 - 44 mins and was on hold 17 min for the issue! #Pissed is an understatement!!
1211497297160417280,JupiterDiamond1,"So I get my own coffee from Starbucks I brought it in to work, I set it down while I got ready, AND THE NEW SHOT BITCH THREW AWAY MY ENTIRE GRANDE COFFEE!!! #PISSED"
1211475397285691394,IAmTeeButterfly,"The way the driver puts the car in park, lmaoooooo #pissed 😂😂 @WadooNYNJDEN"
1211474839057424385,raiemb,I love my job.. but when I work for a weekend and still can't pay my bills I hate people!! If you can't afford the tip stay the hell at home!!! Your compliments don't pay my bills!!! #pissed #bartenderlife #crapcustomers
1211474815875526656,kaitlyneileenn,"I went to @Whataburger and ordered a #1 DRY (aka just no mustard) with cheese. Tell me why I got a plain patty with cheese, NO vegetables and MUSTARD!! #pissed"
