id,date,user,text
1230849206644101126,2020-02-21 13:38:13,ass_chimchim,louder than bombs😭😭😭💔💔
1230849205079437312,2020-02-21 13:38:13,Monkiee72,I don’t wanna go to work 😭😭 Send me hellppp 💔💔🤮
1230849189480992768,2020-02-21 13:38:09,zahraaahmad685,@BarzaniSando @allaaa_xx Stop attacking mee😂😂💔
1230849188927279104,2020-02-21 13:38:09,Ralyagoot95,Thissssssss partttttttttttt💔 https://t.co/37wrK1Nux6
1230849186826006529,2020-02-21 13:38:08,arihafatimah,Psl makes me realise that you guys really hate Karachi. (6) 💔 https://t.co/gGXn0BV5fg
1230849185769021441,2020-02-21 13:38:08,ElaineNiddery,People were warned or your democracy was hacked😡💔 https://t.co/Ex7EQc3v1F
1230849176596090880,2020-02-21 13:38:06,julie_maxon,"@andy4msf This is beyond horrific. How does anyone become capable of inflicting such cruelty? You are right, Andy. Humans are the devil and have created hell on earth 💔💔"
1230849164474535937,2020-02-21 13:38:03,KTULNews,"HEARTBREAKING 💔 In the video, 9-year-old Quaden sobs after another child at his school bullied him. The mom said Quaden has attempted suicide several times. https://t.co/4xJTYKhzIE"
1230849157331595270,2020-02-21 13:38:01,hammadealbraki4,Pc ( mac) &amp; canon 7D 💔 https://t.co/XbmN24kVPw
1230849156102553601,2020-02-21 13:38:01,lizzlittt,Last time I did this was hs 😭😭💔 https://t.co/bpxJalAjls
1230849154143989760,2020-02-21 13:38:01,itzBrodaAhmed,@ManlikeMubbs You are heartless 💔💔😂😂😂
1230849151598039045,2020-02-21 13:38:00,SheikhFAQ1,"I can feel the torture
I can see the face of this young kid , full of Depression 
Heart filled with Sorrow.
☹️☹️💔💔💔
 Cruel World https://t.co/hxijC1SKZ6"
1230849145109405697,2020-02-21 13:37:58,AntonyT11740501,@princessxstacey @IanPlumbing Hes such a beautiful little boy 💔 not gunna loe this broke me at 6am this morning 😢
1230849137425440769,2020-02-21 13:37:57,yaababei,"I Will Marry You, I Will Marry You.. After Sex Then they vanish 😞💔"
1230849131771461632,2020-02-21 13:37:55,annietisshaw,@LondonTitan Yeah 💔
1230849111810768896,2020-02-21 13:37:50,Neezarh1,@Uncu_Segun @Dehkunle Habba Uno see person ask u question bros????😂💔😂💔
1230849104797937667,2020-02-21 13:37:49,breneaaa,"No longer push pain out, I’m gone go harder with it💔💪🏾"
1230849104307195911,2020-02-21 13:37:49,rrojjjas,I wasn’t ready to see AI y’all about Kobe just yet 💔 https://t.co/78NPhP0QY8
1230849104051343362,2020-02-21 13:37:49,11Rxv7,I’m dead Really I can’t breath 💔💔#BTSComeback2020
1230849100607823874,2020-02-21 13:37:48,moneycruuz,Smh where is this 💔 @GGYOUNGBOY https://t.co/AB6gmLsLMa
1230849088813400067,2020-02-21 13:37:45,Nonku_Kay,@cnehshuga I’ve only been gone 2 minutes and you’ve changed your bedroom 🥺 wow 💔
1230849088402399232,2020-02-21 13:37:45,Teona__d,"It doesn’t even make sense that the number 8 and suicide are in the same sentence, poor baby 💔😔 https://t.co/340wDO7ihr"
1230849088289038337,2020-02-21 13:37:45,hananana_l,I missed her💔
1230849078029885442,2020-02-21 13:37:42,ann_ichak,"This breaks my heart 💔💔💔💔 :"""" https://t.co/aLcBkAj3Ja"
1230849076620660736,2020-02-21 13:37:42,hpswf1,I hope JK wouldn't stay forever alone just to please fans 💔
1230849075911614464,2020-02-21 13:37:42,taramltayo,I really miss my mama right now💔💔💔
1230849073160183809,2020-02-21 13:37:41,coffeegal27,Seeing Sailormoon x colourpop collection sold out breaks my heart 💔 #mema
1230849070434078722,2020-02-21 13:37:41,xojuliii,"💔💔 kindness is the best thing ever, please teach your children to be nice https://t.co/B8y2ihldZr"
1230849064859648001,2020-02-21 13:37:39,dsym_plasos,"It's very dissapointing how ppl choose those who sugarcoated what they say yet doesn't have the qualities of what we are looking for, rather than those who can are deserving and can be a good example. 💔"
1230849063135911936,2020-02-21 13:37:39,valecakes,"one of the best parts of Ruthless Aggression. goosebumps. 
@ShawnMichaels is THE greatest 💔 https://t.co/SwIG0yuWjo"
1230849056374542336,2020-02-21 13:37:37,bewnadwet,@xtianisabsent can we go back to the days our love was strong💑🎶💔
1230849046622998528,2020-02-21 13:37:35,KrisOrton1,@henryfraser0 This literally breaks my heart 💔
1230849043963797505,2020-02-21 13:37:34,SketchPhanadic,"@BadooMoney Eishh💔💔 
I got something that would make you feel better😁 and it's not that good good if you know what I'm talking about😂😂
May I slide to pitch the idea¿😁🔥"
1230849032773406720,2020-02-21 13:37:32,PaulWright19071,@S11E11B11A Pity 💔
1230849027517882370,2020-02-21 13:37:30,NeliswaNeli07,@K_Monyemangene I'm so sorry😭😭😭💔💔
1230849022111469570,2020-02-21 13:37:29,_Geetchi,Rest in Heaven P-Red &amp; Big Red 💔
1230849015102701570,2020-02-21 13:37:27,nlm1120,"It was a tough end to the season, but we are so grateful to everyone who supported the Lady Dragons 💔 https://t.co/Ux6E9BvC8J"
1230849012930170881,2020-02-21 13:37:27,kellymcelhinney,@theAleppoCatman RIP little one. Thank you so much for helping her. You are heroes. 💔😢❤️
1230849009566138369,2020-02-21 13:37:26,collrue,We live in such a cold world. So cold that we got 8 year olds knowing suicide is an option. How can this be the second child I’ve read about in less than 24 hours. Gotta check in on school age kids regularly 💔 https://t.co/FMM38E5xlq
1230849000221368321,2020-02-21 13:37:24,its_liz13,"So anxious for #bloodlustpalette 
Mainly b/c I may have to skip out on buying due to an urgent family matter. 😭💔 #jeffreestarcosmetics #jeffreestar 
@JeffreeStar"
1230848993963454464,2020-02-21 13:37:22,joannerw3,@nick_wondra11 🙏🏻🙏🏻. Soooo 😢 sad... this kid should be having fun laughing and learning...breaks my 💔
1230848990901460992,2020-02-21 13:37:22,elmocsh,"They say that no matter how covered the clouds, you must see the light 💔"
1230848983901376513,2020-02-21 13:37:20,tyraa_dimplesss,"Sydney and my TeTe birthday tomorrow , bitter sweet moment because she didn’t let nobody fuck w Sydney 😂😂😂 . I love you TeTe 💔"
1230848972727693312,2020-02-21 13:37:17,SavePugs1,@Sunnbay1712 Or Chris Cornel 💔
1230848966922821632,2020-02-21 13:37:16,mcklindberg,"Fun fact: a man once told me his emotions were like Thor’s hammer and that only one special person (Captain America) could get his emotions to come out. I liked the analogy, but I was not his Captain America 💔 https://t.co/tmdSiEhzGM"
1230848958546640897,2020-02-21 13:37:14,fakestsmileee,My stupid ass lost the necklace my Tita bought from USA💔 https://t.co/XNAlFZzMvX
1230848953018699783,2020-02-21 13:37:13,_livealittle__,Danny Cipriani might be the bravest man on the planet. Possibly second only to Qyaden Bayles #humanscanbesoinhumane 💔
1230848941203181568,2020-02-21 13:37:10,septembers9497,googie looks like a princess 💔💔💔💔💔💔💔 https://t.co/rM8ptC6HS2
1230848933770997762,2020-02-21 13:37:08,SocialStrand,tracysestili: turnerland12 Shushirai2 S11E11B11A This is heartbreaking. 😢💔
1230848925986361346,2020-02-21 13:37:06,ElizaMajumder,"From calling P to discovering the blood stains on the floor... Someone just sucked out life from him... He was literally pale 💔
He followed the blood... Stumbling... Numb!!! 
#ParthSamthaan 👏👏👏
#KasautiiZindagiiKay #AnuragBasu 
@StarPlus @BTL_Balaji @ektarkapoor @ChloeJFerns https://t.co/BjVrFriJEM"
1230848925327904768,2020-02-21 13:37:06,iamcoriyann,tmr is the day that i see my bestfriend in a casket bro like wtf 💔 im soooooo not READY for this 🥺
1230848913055215616,2020-02-21 13:37:03,TNacilla,"Sometimes I ask myself, what if I took the same risk? Will I be happier?💔"
1230848899251888128,2020-02-21 13:37:00,SoulSmellsofAmi,"@ItsLuxi Loool ahh no way, I was getting bare gassed to watch it 💔"
1230848894650769408,2020-02-21 13:36:59,claudiarya1,"@1IrresistibleD This is the way... I’m freaking mad Anto. We were the first in line to love and protect this trilogy and look how they pushed us to talk. I sound like the fandom menace post TLJ, and I hate it 💔"
1230848891773472769,2020-02-21 13:36:58,Lee_Monareng,I could really do with a win 🤕. So many L’s 💔.
1230848885611991048,2020-02-21 13:36:57,WLRSN9T,💔💔💔💔💔Work💔💔💔💔💔💔💔 https://t.co/HDghxiQOjC
1230848880780156928,2020-02-21 13:36:55,UmpaSmurf94,@ElleOsiliWood 💔💔💔💔 Good luck with everything. You were a great asset to the team!!!
1230848875398717441,2020-02-21 13:36:54,Tinee89899174,"All iwant is loves, attentions, best friends, people i can talk with all my problems, family, happiness,worth but☹️💔"
1230848873641529346,2020-02-21 13:36:54,GwegsL,@tiannaccohen Theres hackers out there😂💔
1230848869447192577,2020-02-21 13:36:53,Ghaniyyu__,@Timibeats My guy 💔
1230848846726602752,2020-02-21 13:36:47,rave_bean,@IAMETC Omg I wish I could afford to see you tonight 💔💔💔I hope you have a great ass show!! 🤗🔥
1230848842263912450,2020-02-21 13:36:46,dojoonie,watchin everyone on my tl talk abt mot7 n the new mv n i cant join the hype rn 💔
1230848836882485250,2020-02-21 13:36:45,garciakreystene,Broken diay sya guys enjoy the pain balga💔 https://t.co/CZpWlZLFpw
1230848835758374912,2020-02-21 13:36:45,jmhoby,NO MORE DREAM 💔💔💔💔💔💔💔
1230848820889686017,2020-02-21 13:36:41,Zeh_wa31,PSL makes me realize that you guys really hate Karachi... ..(6) 🙄💔 https://t.co/PohhR1m7BQ
1230848819899838465,2020-02-21 13:36:41,BrwnEyedGrlKT,I have an 8 year old little Boy and my God...💔 https://t.co/kb90CWujdx
1230848812639453186,2020-02-21 13:36:39,FoxyII2,@SpainAddick @CHATHMuseum @stuartbinns @CAFCofficial @cafckits @museumofjerseys @thefootballsc @collectfootball Heartbreaking mate💔 I’ve a few but I’ve grown a size or two since😂
1230848812010352640,2020-02-21 13:36:39,AgainMeMary1,"@Pontifex My heart breaks
My mind screams
My soul burns

How could you
Be so cruel 💔
As to ignore me
Your sister? https://t.co/sUkUI5pxew"
1230848811213389824,2020-02-21 13:36:39,orokibread,@Kingtanda @AkinMishael WT actual fuck!!!! 😂😂😂😂😂💔💔💔💔 I'm done with y'all
1230848809233735680,2020-02-21 13:36:38,TherealFentyy,I ain’t got nothing for no one 💔
1230848799490428929,2020-02-21 13:36:36,Lokendr00012,@Gujju_Jon @Rohits_warrior_ Results were really heartbroken expect last one 💔
1230848792225730560,2020-02-21 13:36:34,Jamillelala,I NEED A DRINKING SESH WITH MY OG FRIENDS😩 Huhu Miss them so much. I wanna go home💔
1230848790451630080,2020-02-21 13:36:34,whiiteley,@basimbelada34 Feel u💔
1230848787595321346,2020-02-21 13:36:33,EmmaLBentley,@sophiasgaler @TaylorLorenz You said I was your only TikTok wife. You said it was special. 💔💔 https://t.co/ZG61yZLQzC
1230848778183139330,2020-02-21 13:36:31,polaybear06,"the way i said ""breasts"" 😔💔 https://t.co/FpRGRwrrVK"
1230848769681289217,2020-02-21 13:36:29,bastardoze,@emangsyaiton Sad. 💔💔💔 that was my best selfie.
1230848763566133248,2020-02-21 13:36:27,utdstephx,If Rashford isn't fit for the euros then I seriously dont know what I'll do 💔
1230848754594566144,2020-02-21 13:36:25,IHeartHaiden,"@BethMcKamy I’m so sorry for your loss. At least you have the blessing of knowing she is in Heaven and you will see her again one day. Still, I know it’s hard for you and all the others who loved her so much on earth. 💔"
1230848738819743744,2020-02-21 13:36:22,Divya_Naidu28,@putchyohandsup @SkySportsNews Well that is just sad💔
1230848730494119938,2020-02-21 13:36:20,nalbedeni,Raymond 💔💔💔 https://t.co/cbFgmu3gNH
1230848728988180480,2020-02-21 13:36:19,MaryCabang,Goodnight💔🙂
1230848726077509632,2020-02-21 13:36:19,Meeshaallll,@BiggieSlonk What about my bad day yesterday? 💔🙂
1230848696734142464,2020-02-21 13:36:12,MLM0695,@Kesshen Exactly macha 😂😂😂😂💔😭
1230848692023963648,2020-02-21 13:36:10,magayaki_,@Itz_Abdelmalik This hurts to watch it 💔💔💔
1230848680279732226,2020-02-21 13:36:08,RabongueAubrey,Maybe im just one of them.💔
1230848679130480641,2020-02-21 13:36:07,arujiiii,"it ended. 💔 thank you for being so honest, no offense taken."
1230848672155521024,2020-02-21 13:36:06,karenbicky74,Just about as heartbreaking as it gets 💔 poor boy and his family. People need educating about the effects of #bullying https://t.co/dq3ptZLwbv
1230848663410200576,2020-02-21 13:36:04,JulietInShadows,This video just broke my heart. 💔 https://t.co/zfrBLXJ5I6
1230848654824615936,2020-02-21 13:36:02,8heyhm,I miss zayn 💔
1230848652500815872,2020-02-21 13:36:01,tarrrrte,"Wish i have somebody to say im home to, soon kalo bisa 😌💔"
1230848650118598657,2020-02-21 13:36:00,BTSFORE99876879,"There's nothing else to say. 
He just looks so frickin fine 😭💜💔 https://t.co/i8F5HNBWn0 https://t.co/YkPxK3Darq"
1230848648365297670,2020-02-21 13:36:00,19O217,san please give shiber a bath now 😭💔😡
