id,date,user,text
1230815052841836544,2020-02-21 11:22:30,ethan_rhj,he tried to warn us 😱 we should have listened to this spoon bending king 🙌 https://t.co/N4fcf0zLTG
1230815050908098560,2020-02-21 11:22:30,MarvinHumes,Ok ok ok..this is absolutely insane.. since 9am this morning we’ve added 10 dates to make this a 25 date arena tour and added a 4th o2 show 😱 mind is blown! Thank you to everyone so far who has bought tickets!… https://t.co/JAgkVk3f9X
1230815048039161856,2020-02-21 11:22:29,Greatdashdoll,Oh my gosh 😱😱😻😻 https://t.co/wc4DRw9EDF
1230815045644238849,2020-02-21 11:22:28,TonnethZamora,@maxkonnorxxx @maxkonnorxxx lovely man I know!!!😱😱😱🍆🍆🍆🍑🍑🍑😘😘😘😍😎😎😋😊😉😆😙😙😗😗😗🤗🤩🤩😀
1230815038061109250,2020-02-21 11:22:27,vixmix144,@WestHam @lansburyhenri What’s the point of looking back !! We need results Now ! More than ever 💪😱COYI
1230814990766166017,2020-02-21 11:22:15,james_reb,Dot Cotton: Actress June Brown says she has left EastEnders 'for good' Nooo!🙈😱🙋😭 https://t.co/iSH9TYumGp
1230814974777479169,2020-02-21 11:22:12,Pschmeichel1,This scares the hell out of me and It feels like the players are as confused about the message as I am🙈😱 https://t.co/kHWp3Ss8Zt
1230814971472203777,2020-02-21 11:22:11,rafkirf,@athashareeza 😱 kaget liat notif miss call boss besar https://t.co/3sQY8jHiFa
1230814929684398080,2020-02-21 11:22:01,AnjaMueller5,"@pskeltonphoto Wishing you a happy weekend Peter😊
I‘m on a concert weekend 😂😱🎉in the Netherlands and Germany"
1230814915373326336,2020-02-21 11:21:57,gouldingirlie,"Omg, another Amazing Comeback!! 😱💖💖 #kpop #3EYE  https://t.co/Ddmv6GyotJ"
1230814907395866624,2020-02-21 11:21:56,bankreaux,"my uber driver just called me handsome 😨😱.... 

he DEAD ASS WRONG for that 🤦🏽‍♂️"
1230814881437409280,2020-02-21 11:21:49,donnahannigan00,"@NandosUK since when have your chip portions gone to kid size,?being coeliac you are my go to food place but after visiting Cambridge retail park last week I’m gonna rethink as that wouldn’t even satisfy my kids 😱"
1230814880724160512,2020-02-21 11:21:49,mysulis,chan 😱😱😱
1230814878681706496,2020-02-21 11:21:49,Lisaismyname89,"*pretends to be shocked* 😱🙄

BBC News - Islamic State supporter admits St Paul's bomb plot https://t.co/zEwtuBd9xD"
